Index, action count, go forward(go), turn right, turn left, suck up,  cleaned cell(0)
Index: 21,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
Index: 22,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
Index: 23,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
Index: 24,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
Index: 25,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
Index: 26,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
Index: 27,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
Index: 28,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
Index: 29,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
Index: 30,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
Index: 31,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
Index: 32,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
